ID,Year,Topic Groups,Topics,Title,Keywords,Abstract
AAAI-13-11,2013,"Multiagent Systems
Applications
Reasoning","Distributed Problem Solving
Computational Social Science
Decision/Utility Theory",Automated Workflow Synthesis,"human computation
crowd computing
program synthesis","By coordinating efforts from humans and machines, human computation
systems can solve problems that machines cannot tackle alone. A
general challenge is to design efficient human computation algorithms
or workflows with which to coordinate the work of the crowd. We
explore automated workflow synthesis aimed at ideally harnessing
human efforts by learning about the crowd's performance on tasks and
synthesizing an optimal workflow for solving a problem.  We present
experimental results for human sorting tasks, which demonstrate both
the benefit of understanding and optimizing the structure of
 workflows based on observations. Results also demonstrate the
benefits of using value of information to guide experiments for
identifying efficient workflows with fewer experiments."
AAAI-13-12,2013,"Cognitive Modeling
Vision, Object Recognition, and Perception",Cognitive Modeling,Video Saliency Detection via Dynamic Consistent Spatio-Temporal Attention Modelling,"Video Saliency Map
Spatio-Temporal Attention Model
Optical Flow","Human vision system actively seeks salient regions and movements in video sequences to reduce the search effort. Modeling computational visual saliency map provides important information for semantic understanding in many real world applications. In this paper, we propose a novel video saliency detection model for detecting the attended regions that correspond to both interesting objects and dominant motions in video sequences. In spatial saliency map, we in-herit the classical bottom-up spatial saliency map based on intensity, color, contrast, and orientation features in pixel-level. In temporal saliency map, a novel optical flow model is proposed based on the dynamic consistency of motion. The spatial and the temporal saliency maps are constructed and further fused together to create a novel attention model. The proposed attention model is evaluated on three video datasets. Empirical validations demonstrate the salient regions detected by our dynamic consistent saliency map highlight the interesting objects effectively and efficiency. More importantly, the automatically video attended regions detected by proposed attention model are consistent with the ground truth saliency maps of eye movement data."
AAAI-13-13,2013,"Machine Learning
Reasoning","Big Data/Scalability
Machine Learning
Probabilistic Inference
Relational Probabilistic Models",Symmetry-Aware Marginal Density Estimation,"statistical relational learning
Markov logic network
lifted inference
statistics
Rao-Blackwell
estimation theory
marginal density estimation
probabilistic inference
probabilistic graphical models",Concepts from the field of statistics are leveraged to analyze and improve the scalability of inference in large probabilistic models that exhibit symmetries. A novel Rao-Blackwell marginal density estimator is introduced and shown both analytically and empirically to outperform standard estimators. The developed theory and algorithms apply to a broad class of  probabilistic models including statistical relational models considered not susceptible to lifted probabilistic inference.
AAAI-13-14,2013,"Constraint Satisfaction
Optimization","SAT and CSP
Heuristic Search
Constraint Satisfaction",Improving WalkSAT for Random $k$-Satisfiability Problem with $k>3$,"WalkSAT
Random $k$-Satisfiability Problem
Multilevel Make
Linear Make","Stochastic local search (SLS) algorithms are well known for their ability to efficiently find models of randomly generated instances of the Boolean satisfiablity (SAT) problem. One of the most famous SLS algorithms for SAT is WalkSAT, which is an initial algorithm that has wide influence among modern SLS algorithms. Recently, there has been increasing interest in WalkSAT, due to the discovery of its great power on large random 3-SAT instances. However, the performance of WalkSAT on random $k$-SAT instances with $k>3$ lags far behind. Indeed, there have been few works in improving SLS algorithms for such instances. This work takes a first large step towards this direction. We propose a novel concept namely $multilevel$ $make$. Based on this concept, we design a scoring function called $linear$ $make$, which is utilized to break ties in WalkSAT, leading to a new algorithm called WalkSAT$lm$. Our experimental results on random 5-SAT and 7-SAT instances show that WalkSAT$lm$ improves WalkSAT by orders of magnitudes. Moreover, WalkSAT$lm$ significantly outperforms state-of-the-art SLS solvers on random 5-SAT instances, while competes well on random 7-SAT ones. Additionally, WalkSAT$lm$ performs very well on random instances from SAT Challenge 2012, indicating its robustness."
AAAI-13-15,2013,Machine Learning,"Bayesian Learning
Data Mining and Knowledge Discovery
Graphical Model Learning
Unsupervised Learning",A Generalized Student-t Based Approach to Mixed-Type Anomaly Detection,"Outlier Detection
Anomaly Detection
Mixed Type Data
INLA","Anomaly detection for mixed-type data is an important problem that has not been well addressed in the machine learning field. There are two challenging issues for mixed-type datasets, namely modeling mutual correlations between mixed-type attributes and capturing large variations due to anomalies. This paper presents UnREBAD, an Unsupervised Robust Error Buffering approach for Anomaly Detection in mixed-type datasets. A new variant of the generalized linear model is proposed to model the dependency between mixed-type attributes. The model incorporates an error buffering component based on Student-t distribution to absorb the variations caused by anomalies. However, because of the non-Gaussian design, the problem becomes analytically intractable. We propose a novel Bayesian inference approach, which integrates Laplace approximation and several computational optimizations, and is able to efficiently approximate the posterior of high dimensional latent variables by iteratively updating the latent variables in groups. Extensive experimental evaluations based on 13 benchmark datasets demonstrate the effectiveness and efficiency of UnREBAD."
AAAI-13-16,2013,"Reasoning
Reasoning","Action, Change, and Causality
Bayesian Networks",Causal Transportability with Limited Experiments,"Causality
Transportability
Meta-analysis
Transfer learning","We address the problem of transferring causal knowledge learned in one environment to another, potentially different environment, when only limited experiments may be conducted at the source. This generalizes the treatment of transportability introduced in [Pearl and Bareinboim, 2011; Bareinboim and Pearl, 2012b], which deals with transferring causal information when any experiment can be conducted at the source. Given that it is not always feasible to conduct certain controlled experiments, we consider the decision problem  whether  experiments on a selected subset Z of variables together with qualitative assumptions encoded in a diagram may render causal effects in the target environment computable from the available data. This problem, which we call z-transportability, reduces to ordinary transportability when Z is all-inclusive, and, like the latter, can be given syntactic characterization using the do-calculus [Pearl, 1995; 2000].  This paper establishes a necessary and sufficient condition for causal effects in the target  domain  to be estimable from both the non-experimental information available and the limited experimental information transferred from the source. We further provides a complete algorithm for computing the transport formula, that is, a way of fusing experimental and observational information to synthesize an unbiased estimate of the desired  causal  relation."
AAAI-13-17,2013,Machine Learning,Preferences/Ranking Learning,Rank Aggregation via Low-rank and Structured-sparse Decomposition,"Rank aggregation
Low-rank matrices
Structured-sparsity
Meta-search","Rank aggregation, which combines multiple individual rank lists to
obtain a better one, is a fundamental technique in various
applications such as meta-search and recommendation systems. Most
existing rank aggregation methods blindly combine multiple rank
lists with possibly considerable noises, which often degrades their
performances. In this paper, we propose a new model for
\textit{robust rank aggregation (RRA)} via matrix learning, which
recovers a latent rank list from the possibly incomplete and noisy
input rank lists. In our model, we construct a pairwise comparison
matrix to encode the order information in each input rank list.
Based on our observations, each comparison matrix can be naturally
decomposed into a shared low-rank matrix, combined with a deviation
error matrix which is the sum of a column-sparse matrix and a
row-sparse one. The latent rank list can be easily extracted from
the learned low-rank matrix. The optimization formulation of RRA has
an element-wise multiplication operator to handle missing values, a
symmetric constraint on the noise structure, and a factorization
trick to restrict the maximum rank of the low-rank matrix. To solve
this challenging optimization problem, we propose a novel procedure
based on the Augmented Lagrangian Multiplier scheme. We conduct
extensive experiments on meta-search and collaborative filtering
benchmark datasets. The results show that the proposed RRA has
superior performance gain over several state-of-the-art algorithms
for rank aggregation."
AAAI-13-18,2013,Multiagent Systems,Social Choice/Voting,Computational Aspects of Nearly Single-Peaked Electorates,"Computational social choice
(Nearly) Single-peaked profiles
Voting
Manipulation
Computational complexity
Algorithms","Manipulation, bribery, and control are well-studied ways of changing the outcome of an election. Many voting systems are in the general case computationally resistant to some of these manipulative actions. However when restricted to single-peaked electorates, these systems suddenly become easy to manipulate. Recently, Faliszewski, Hemaspaandra, and Hemaspaandra studied the complexity of dishonest behavior in nearly single-peaked electorates. These are electorates that are not single-peaked but 
close to it according to some distance measure.

In this paper we introduce several new distance measures regarding single-peakedness. We prove that determining whether a given profile is nearly single-peaked is in many cases NP-complete. For one case we present a polynomial-time algorithm.
Furthermore, we explore the relations between several notions of nearly single-peakedness and study the complexity of manipulation for nearly single-peaked elections."
AAAI-13-19,2013,"Multiagent Systems
Reasoning","E-Commerce
Game Theory
Mechanism Design
Uncertainty in AI",On the Value of using Group Discounts under Price Competition,"Group discounts
Price competition
Stable matching
Optimal pricing","The increasing use of group discounts
has provided opportunities
for buying groups with diverse preferences to coordinate their
behavior in order to exploit the best offers from multiple vendors.
We analyze this problem from the viewpoint of the vendors, asking
under what conditions a vendor should adopt a volume-based price schedule
rather than posting a fixed price, either as a monopolist or when competing
with other vendors. When vendors have uncertainty about buyers' valuations
specified by a known distribution, we show that a vendor is always better
off posting a fixed price, provided that buyers' types are i.i.d. and
other vendors also use fixed prices. We also show that these
assumptions cannot be relaxed: if buyers are not i.i.d.,
or other vendors post discount schedules,
then posting a schedule may yield higher profit for the vendor.
We provide similar results under a distribution-free uncertainty model,
where vendors try to minimize their maximum regret over all type realizations."
AAAI-13-20,2013,Multiagent Systems,"Game Theory
Mechanism Design
Social Choice/Voting",Bundling Attacks in Judgment Aggregation,"Bundling
Judgment Aggregation
Average case complexity","We consider judgment aggregation over multiple independent issues, where the chairperson has her own opinion, and can try to bias the outcome by bundling several issues together. Since for each bundle judges must give a uniform answer on all issues, different partitions of the issues may result in an outcome that is significantly different than the ``true'', issue-wise, decision. 

We prove that the bundling problem faced by the chairperson, i.e. trying to bias the outcome towards her own opinion, is computationally difficult in the worst case. Then we study the probability that an effective bundling attack exists as the disparity between the opinions of the judges and the chair varies. We show that if every judge initially agrees with the chair on every issue with probability of at least 1/2, then there is almost always a bundling attack (i.e. a partition) where the opinion of the chair on all issues is approved. Moreover, such a partition can be found efficiently. In contrast, when the probability is lower than 1/2 then the chair cannot force her opinion even on a single issue."
AAAI-13-21,2013,"Multiagent Systems
Applications","Coordination and Collaboration
Game Theory
Mechanism Design
Social Networks",Bounding the Cost of Stability in Games over Interaction Networks,"Cooperative games
Social networks
Cost of stability
Subsidies
Coalitions","We study stability of cooperative games played over an interaction network, 
in a model that was introduced by Myerson (1977).
We show that the cost of stability of such games (i.e., the subsidy required to stabilize the game) can be bounded in terms of natural parameters of their underlying interaction networks. 

Specifically, we prove that if the treewidth of the interaction network H is k, 
then the relative cost of stability is at most k+1, 
and if the pathwidth of H is k',
then the relative cost of stability is at most k'.
We show that these bounds are tight for all k >= 2 and all k' >= 1, respectively."
AAAI-13-22,2013,"Constraint Satisfaction
Optimization
Knowledge-Based Systems
Machine Learning","Constraint Optimization
Optimization
Ontologies and Induction
Clustering
Unsupervised Learning
Machine Learning
Constraint Satisfaction",Formalizing Hierarchical Clustering as Integer Linear Programming,"Hierarchical Clustering
Integer Programming
Global Optimization","Hierarchical clustering is typically implemented as a greedy heuristic algorithm with no explicit objective function. In this work we formalize hierarchical clustering as an integer linear programming (ILP) problem with a natural objective function and the dendrogram properties enforced as linear constraints.  Though exact solvers exists for ILP we show that a simple randomized algorithm and a linear programming (LP) relaxation can be used to provide approximate solutions faster.  Formalizing hierarchical clustering also has the benefit that relaxing the constraints can produce novel problem variations such as overlapping clusterings.  Our experiments show that our formulation is capable of outperforming standard agglomerative clustering algorithms in a variety of settings, including traditional hierarchical clustering as well as learning overlapping clusterings."
AAAI-13-23,2013,Machine Learning,"Clustering
Data Mining and Knowledge Discovery",Clustering with Complex Constraints - Algorithms and Applications,"Constrained clustering
Quadratic programming
Personal information management
Logical constraints","Clustering with constraints is an important and developing area. However, most work is confined to conjunctions of simple together and apart constraints which limit their usability. In this paper, we propose a new formulation of constrained clustering that is able to incorporate not only existing types of constraints but also more complex logical combinations beyond conjunctions. We first show how any statement in conjunctive normal form (CNF) can be represented as a linear inequality. Since existing clustering formulations such as spectral clustering cannot easily incorporate these linear inequalities, we propose a quadratic programming (QP) clustering formulation to accommodate them. This new formulation allows us to have much more complex guidance in clustering. We demonstrate the effectiveness of our approach in two applications on text and personal information management. We also compare our algorithm against existing constrained spectral clustering algorithm to show its efficiency in computational time."
AAAI-13-24,2013,Reasoning,"Bayesian Networks
Graphical Models
Probabilistic Inference",GiSS: Combining Gibbs Sampling and SampleSearch for Inference in Mixed Probabilistic and Deterministic Graphical Models,"Probabilistic Graphical Models
Approximate Inference
Gibbs Sampling
Importance Sampling
Markov Chain Monte Carlo methods","Mixed probabilistic and deterministic graphical models are ubiquitous in real-world applications. Unfortunately, Gibbs sampling, a popular MCMC technique, does not converge to the correct answers in presence of determinism and therefore cannot be used for inference in such models. In this paper, we propose to remedy this problem by combining Gibbs sampling with SampleSearch, an advanced importance sampling technique which leverages  complete SAT/CSP solvers to generate high quality samples from hard deterministic spaces. We call the resulting algorithm, GiSS. Unlike Gibbs
sampling which yields unweighted samples, GiSS yields weighted samples. Computing these weights exactly can be computationally expensive and therefore we propose several approximations. We show that our new weighting schemes yield consistent estimates and demonstrate experimentally that GiSS is competitive in terms of accuracy with state-of-the-art approximate inference algorithms such as SampleSearch, MC-SAT and Belief propagation."
AAAI-13-25,2013,"Multiagent Systems
Multidisciplinary Topics","Negotiation and Contract-Based Systems
Human-Computer Interaction",An Agent Design for Repeated Negotiation and Information Revelation with People,"Human-Computer Decision-Making
Human-Computer Interaction
Negotiation","Many negotiations in the real world are characterized by incomplete
  information, and participants' success depends on their ability to
  reveal information in a way that facilitates agreement without
  compromising their individual gains.  This paper presents a novel
  agent design for repeated negotiation in incomplete information
  settings that learns to reveal information strategically during the
  negotiation process. The agent used classical machine learning
  techniques to predict how people make and respond to offers during
  the negotiation, how they reveal information, and their response to
  potential revelation actions by the agent. The agent was evaluated
  empirically in an extensive empirical study spanning hundreds of
  human subjects. Results show that the agent was able to outperform
  people. It learned to (1) make offers that were beneficial to people
  while not compromising its own benefit; (2) incrementally reveal
  information to people in a way that increased its expected
  performance. We also show the agent was successful in new settings
  without the need to acquire additional data.  This work demonstrates
  the efficacy of combining machine learning with opponent modeling
  techniques towards the design of computer agents for negotiating
  with people in settings of incomplete information."
AAAI-13-26,2013,Machine Learning,Classification,A Maximum K-Min Approach for Classification,"Classification
Maximin
Maximum K Min","Over the past decades, Maximin/Minimax Classifiers have been proven to be of excellent performance in numerous applications. In this paper, a novel robust Maximum K-Min criterion for classification is proposed which focuses on maximizing the gain obtained by the $K$ worst-classified instances while ignoring the remaining ones.The original combinatorial explosion problem is reformulated into a convex optimization problem with linear number of inequality constrains, which can be efficiently solved via standard convex optimization methods and guarantees a global optimum solution. To verify the performance of Maximum K-Min approach, a naive Linear Maximum K-Min classifier and a Nonlinear Maximum K-Min classifier are proposed for 2-class classification. The experiment results based on $10$ datasets show that the classification accuracy of Maximum K-Min classifiers is competitive with the state-of-the-art classifiers of Support Vector Machine and Logistic Regression."
AAAI-13-27,2013,"Constraint Satisfaction
Reasoning","Constraint Optimization
SAT and CSP
Graphical Models
Probabilistic Inference
Relational Probabilistic Models",RockIt: Exploiting Parallelism and Symmetry for MAP Inference in Statistical Relational Models,"Statistical Relational Models
MAP Inference
Markov Logic
Cutting Plane Aggregation","In this paper we present RockIt a maximum a-posteriori (MAP) query engine for statistical relational models. MAP inference in graphical models is an optimization problem and can naturally be mapped to integer linear programs (ILPs). With this paper, we present several optimizations for ILP translation of MAP queries including the meta algorithm Cutting Plane Aggregation (CPA). CPA exploits context-specific symmetries, that is, symmetries introduced by evidence  and bundles large numbers of  linear constraints. The resulting counting constraints lead to more compact ILPs and, more importantly, make the symmetry of the ground model explicit to state-of-the-art ILP solvers. Moreover, we parallelize all parts of the MAP inference pipeline in order to take advantage of multi-core architectures.

We conducted numerous experiments on standard Markov logic networks (MLN) benchmarks, demonstrating that RockIt outperforms state-of-the-art systems such as Alchemy and Tuffy both in terms of efficiency and quality of results."
AAAI-13-28,2013,"Machine Learning
Multiagent Systems","Online Learning
E-Commerce",Multi-Armed Bandit with Budget Constraint and Variable Costs,"multi-armed bandit
online learning
ad exchange","We study the multi-armed bandit problems with budget constraint and variable costs (MAB-BV). In this setting, pulling an arm will receive a random reward together with a random cost, and the objective of an algorithm is to pull a sequence of arms in order to maximize the expected total reward with the costs of pulling those arms complying with a budget constraint. This new setting models many Internet applications (e.g., ad exchange, sponsored search, and cloud computing) in a more accurate manner than previous settings where the pulling of arms is either costless or with a fixed cost. We propose two UCB based algorithms for the new setting. The first algorithm needs prior knowledge about the lower bound of the expected costs when computing the exploration term. The second algorithm eliminates this need by estimating the minimal expected costs from empirical observations, and therefore can be applied to more real-world applications where prior knowledge is not available. We prove that both algorithms have nice learning abilities, with regret bounds of $O(\ln B)$. Furthermore, we show that when applying our proposed algorithms to a previous setting with fixed costs (which can be regarded as our special case), one can improve the previously obtained regret bound. Our simulation results on real-time bidding in ad exchange verify the effectiveness of the algorithms and are consistent with our theoretical analysis."
AAAI-13-29,2013,Reasoning,"Nonmonotonic Reasoning
Preferences
Qualitative Reasoning",Abstract Preference Frameworks — a Unifying Perspective on Separability and Strong Equivalence,"Reasoning with Preferences
Strong Equivalence
Separability in Preference Frameworks","To study mechanisms common across a variety of preference
formalisms, we introduce a novel abstract preference
framework. It makes no syntactic assumptions and uses
most general representations to model the semantics. We
use our abstract preference framework to study strong
equivalence in preference formalisms, a version of
equivalence that guarantees semantic-preserving
replacements of parts of preference theories, and is
fundamental for preference rewriting and modularity.
To this end we identify abstract postulates in the
language of preference frameworks, capturing natural
semantic properties of preferences, and show that they
lead to elegant characterizations, applicable in many
practical settings. In a similar way, we study the
separability of constraints and preferences. Preference
languages have to capture constraints on the domain of
interest that give rise to intended outcomes, and
preferences that describe what is desirable. In many
preference formalisms these two objectives are clearly
separated, in some others they are not. We identify
abstract postulates that guarantee separability of a
preference formalism and lead to its ""separated"" variant."
AAAI-13-30,2013,Multiagent Systems,Game Theory,Equilibria of Online Scheduling Algorithms,"Online Games
Equilibrium Analysis
Scheduling Algorithms
Competitive Queues
Non-Bayesian Equilibria","We describe a model for competitive online scheduling algorithms.  Two servers, each with a single observable queue, compete for customers.  Upon arrival, each customer strategically chooses the queue with minimal expected wait time.  Each scheduler wishes to maximize its number of customers, and can strategically select which scheduling algorithm, such as First-Come-First-Served (FCFS), to use for its queue.  This induces a game played by the servers and the customers.

We consider a non-Bayesian setting, where servers and customers play to maximize worst-case payoffs.  We show that there is a unique subgame perfect safety-level equilibrium and we describe the associated scheduling algorithm (which is not FCFS).  The uniqueness result holds for both randomized and deterministic algorithms, with a different equilibrium algorithm in each case.

When the goal of the servers is to minimize competitive ratio, we prove that it is an equilibrium for each server to apply FCFS:  each server obtains the optimal competitive ratio of 2."
AAAI-13-31,2013,Optimization,"Heuristic Search
Evaluation and Analysis
Search",A Robust Bidirectional Search Using Heuristic Improvement,"Bidirectional Search
Heuristic Search
Heuristic Correction
Perimeter Search","Although the heuristic search algorithm A* is well-known to be
optimally efficient, this result explicitly assumes forward search.
Bidirectional search has long held promise for surpassing A*'s
efficiency, and many varieties have been proposed, but it has proven
difficult to achieve robust performance across multiple domains in
practice.  We introduce a simple bidirectional search algorithm called
Auto-Tuning A* that judiciously performs backward search to improve
the accuracy of the forward heuristic function.  We assess its
theoretical properties and empirically evaluate its performance across
seven benchmark domains.  In the best case, it yields a factor of six
reduction in node expansions and CPU time compared to A*, and in the
worst case, its overhead is provably bounded by a user-supplied
parameter, such as 1\%.  Viewing performance across all domains, it
also surpasses previously proposed bidirectional search algorithms.
These results indicate that Auto-Tuning A* is robust way to leverage
bidirectional search in practice."
AAAI-13-32,2013,"Reasoning
Multiagent Systems","Preferences
Social Choice/Voting",Bribery in Voting With Soft Constraints,"Bribery
Voting
Soft Constraints","We consider a multi-agent scenario where a collection of agents needs to select a common decision from a large set of possible decisions, over which they express their preferences. Such a decision set has a combinatorial structure, that is, each candidate is an element of the Cartesian product of the domains of some variables. We assume agents compactly express their preferences over the candidates via soft constraints. We consider various aggregation methods: some are sequential, in the sense that they aggregate the preferences over one variable at a time, and an other one is one-step, i.e., it  aggregates the preferences over complete assignments of the variables. We study the complexity of influencing such aggregation methods through bribery: How computationally complex is it for an external agent to determine whether by paying certain agents to change their preferences, within a certain budget,  a specified candidate can be made the winner decision? We prove that bribery is NP-complete for the considered sequential aggregation methods (based on Plurality, Approval, and Borda)  for most of the cost schemes we defined, while the problem is polynomial for one-step Plurality."
